id,authors,original_publication_year,title,mood_tag
49,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",thoughtful
50,Shel Silverstein,1974.0,Where the Sidewalk Ends,thoughtful
51,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",thoughtful
52,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",thoughtful
53,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",thoughtful
54,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",thoughtful
55,Aldous Huxley,1932.0,Brave New World,thoughtful
56,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",thoughtful
57,Sue Monk Kidd,2001.0,The Secret Life of Bees,mysterious
58,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,adventurous
59,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,thoughtful
60,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,dark
61,Paula Hawkins,2015.0,The Girl on the Train,thoughtful
62,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",nostalgic
63,"Emily BrontÃ«, Richard J. Dunn",1847.0,Wuthering Heights,thoughtful
64,Jodi Picoult,2004.0,My Sister's Keeper,thoughtful
65,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,thoughtful
66,Margaret Mitchell,1936.0,Gone with the Wind,thoughtful
67,Khaled Hosseini,2007.0,A Thousand Splendid Suns,thoughtful
68,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,thoughtful
69,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",thoughtful
70,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",thoughtful
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,thoughtful
72,Stephen King,1977.0,The Shining (The Shining #1),dark
73,Stephenie Meyer,2008.0,"The Host (The Host, #1)",thoughtful
74,John Green,2005.0,Looking for Alaska,thoughtful
75,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",poignant
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,thoughtful
77,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",thoughtful
78,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",thoughtful
79,"Homer, Robert Fagles, E.V. Rieu, FrÃ©dÃ©ric Mugler, Bernard Knox",-720.0,The Odyssey,thoughtful
80,"Antoine de Saint-ExupÃ©ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,tense
81,Jeannette Walls,2005.0,The Glass Castle,thoughtful
82,Jon Krakauer,1996.0,Into the Wild,thoughtful
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,dark
84,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",thoughtful
85,Shel Silverstein,1964.0,The Giving Tree,thoughtful
86,John Grisham,1989.0,A Time to Kill,thoughtful
87,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),dark
88,John Green,2008.0,Paper Towns,thoughtful
89,William Goldman,1973.0,The Princess Bride ,romantic
90,S.E. Hinton,1967.0,The Outsiders,thoughtful
91,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",thoughtful
92,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",mysterious
93,Frances Hodgson Burnett,1911.0,The Secret Garden,mysterious
94,"Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,thoughtful
95,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,thoughtful
96,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",thoughtful
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,thoughtful
98,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",thoughtful
99,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",thoughtful
100,Barbara Kingsolver,1998.0,The Poisonwood Bible,thoughtful
101,David Sedaris,2000.0,Me Talk Pretty One Day,thoughtful
102,Maurice Sendak,1963.0,Where the Wild Things Are,thoughtful
103,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,thoughtful
104,Cormac McCarthy,2006.0,The Road,thoughtful
105,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",thoughtful
106,Tina Fey,2011.0,Bossypants,thoughtful
107,Nicholas Sparks,1999.0,A Walk to Remember,romantic
108,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",thoughtful
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les MisÃ©rables,thoughtful
110,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",thoughtful
111,Kim Edwards,2005.0,The Memory Keeper's Daughter,tense
112,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",thoughtful
113,Joseph Heller,1961.0,Catch-22,thoughtful
114,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,thoughtful
115,Jeffrey Eugenides,2002.0,Middlesex,thoughtful
116,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,adventurous
117,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",thoughtful
118,Amy Tan,1989.0,The Joy Luck Club,thoughtful
119,Margaret Atwood,1985.0,The Handmaid's Tale,thoughtful
120,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",thoughtful
121,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,thoughtful
122,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",magical
123,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",thoughtful
124,Emma Donoghue,2010.0,Room,thoughtful
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,thoughtful
126,Frank Herbert,1965.0,Dune (Dune Chronicles #1),thoughtful
127,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,thoughtful
128,Walter Isaacson,2011.0,Steve Jobs,thoughtful
129,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,thoughtful
130,Ernest Hemingway,1952.0,The Old Man and the Sea,nostalgic
131,John Steinbeck,1939.0,The Grapes of Wrath,thoughtful
132,Mitch Albom,2003.0,The Five People You Meet in Heaven,thoughtful
133,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",thoughtful
134,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",thoughtful
135,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",adventurous
136,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,mysterious
137,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",thoughtful
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,thoughtful
139,Ransom Riggs,2011.0,"Miss Peregrineâ€™s Home for Peculiar Children (Miss Peregrineâ€™s Peculiar Children, #1)",thoughtful
140,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",thoughtful
141,Andy Weir,2012.0,The Martian,thoughtful
142,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",thoughtful
143,Anthony Doerr,2014.0,All the Light We Cannot See,thoughtful
144,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",tense
145,Dan Brown,2001.0,Deception Point,thoughtful
146,Donna Tartt,2013.0,The Goldfinch,nostalgic
147,Jay Asher,2007.0,Thirteen Reasons Why,thoughtful
148,Tracy Chevalier,1999.0,Girl with a Pearl Earring,thoughtful
149,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",thoughtful
150,Anita Diamant,1997.0,The Red Tent,thoughtful
151,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",thoughtful
152,Nicholas Sparks,2006.0,Dear John,romantic
153,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",thoughtful
154,William Shakespeare,1606.0,Macbeth,thoughtful
155,J.R.R. Tolkien,1954.0,"The Two Towers (The Lord of the Rings, #2)",adventurous
156,Emily Giffin,2004.0,"Something Borrowed (Darcy & Rachel, #1)",thoughtful
157,"Dr. Seuss, ×œ××” × ××•×¨",1960.0,Green Eggs and Ham,thoughtful
158,"Roald Dahl, Quentin Blake",1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",thoughtful
159,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",tense
160,Charles Dickens,1860.0,Great Expectations,thoughtful
161,J.R.R. Tolkien,1955.0,"The Return of the King (The Lord of the Rings, #3)",adventurous
162,"Albert Camus, Matthew    Ward",1942.0,The Stranger,tense
163,Rick Riordan,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",adventurous
164,Rainbow Rowell,2013.0,Eleanor & Park,thoughtful
165,George R.R. Martin,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",thoughtful
166,Ally Condie,2010.0,"Matched (Matched, #1)",thoughtful
167,Neil Gaiman,2001.0,"American Gods (American Gods, #1)",thoughtful
168,"Stephen King, Bernie Wrightson",1978.0,The Stand,dark
169,Nicholas Sparks,2008.0,The Last Song,romantic
170,Dan Brown,1998.0,Digital Fortress,thoughtful
171,"Jane Austen, Fiona Stafford",1815.0,Emma,thoughtful
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Anna Karenina,thoughtful
173,Anthony Burgess,1962.0,A Clockwork Orange,thoughtful
174,William Paul Young,2007.0,The Shack,thoughtful
175,Rick Riordan,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",thoughtful
176,Stephen King,1986.0,It,dark
177,"Fyodor Dostoyevsky, David McDuff",1866.0,Crime and Punishment,thoughtful
178,Sylvia Plath,1963.0,The Bell Jar,thoughtful
179,Frank McCourt,1996.0,"Angela's Ashes (Frank McCourt, #1)",thoughtful
180,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,thoughtful
181,Truman Capote,1965.0,In Cold Blood,dark
182,"Kami Garcia, Margaret Stohl",2009.0,"Beautiful Creatures (Caster Chronicles, #1)",thoughtful
183,Cassandra Clare,2010.0,"Clockwork Angel (The Infernal Devices, #1)",thoughtful
184,"Roald Dahl, Quentin Blake",1988.0,Matilda,thoughtful
185,Erin Morgenstern,2011.0,The Night Circus,dark
186,Philippa Gregory,2001.0,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",thoughtful
187,Scott Westerfeld,2005.0,"Uglies (Uglies, #1)",thoughtful
188,George R.R. Martin,2011.0,"A Dance with Dragons (A Song of Ice and Fire, #5)",adventurous
189,J.R.R. Tolkien,1955.0,"The Lord of the Rings (The Lord of the Rings, #1-3)",adventurous
190,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail,adventurous
191,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,thoughtful
192,Patrick Rothfuss,2007.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",thoughtful
193,Malcolm Gladwell,2008.0,Outliers: The Story of Success,thoughtful
194,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby-Dick or, The Whale",thoughtful
195,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,thoughtful
196,Chuck Palahniuk,1996.0,Fight Club,tense
197,Charlaine Harris,2001.0,"Dead Until Dark (Sookie Stackhouse, #1)",thoughtful
198,Alice Walker,1982.0,The Color Purple,thoughtful
199,John Grogan,2005.0,Marley and Me: Life and Love With the World's Worst Dog,romantic
200,Agatha Christie,1939.0,And Then There Were None,mysterious
201,Dan Brown,2009.0,"The Lost Symbol (Robert Langdon, #3)",adventurous
202,Becca Fitzpatrick,2009.0,"Hush, Hush (Hush, Hush, #1)",thoughtful
203,Jamie McGuire,2011.0,"Beautiful Disaster (Beautiful, #1)",thoughtful
204,Charles Dickens,1843.0,A Christmas Carol,thoughtful
205,Anne Rice,1976.0,"Interview with the Vampire (The Vampire Chronicles, #1)",dark
206,Kiera Cass,2012.0,"The Selection (The Selection, #1)",thoughtful
207,Janet Evanovich,1994.0,"One for the Money (Stephanie Plum, #1)",thoughtful
208,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,poignant
209,Thomas Harris,1988.0,"The Silence of the Lambs  (Hannibal Lecter, #2)",thoughtful
210,Richelle Mead,2007.0,"Vampire Academy (Vampire Academy, #1)",dark
211,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,thoughtful
212,Ian McEwan,2001.0,Atonement,thoughtful
213,"Franz Kafka, Stanley Corngold",1915.0,The Metamorphosis,nostalgic
214,Rick Riordan,2007.0,"The Titan's Curse (Percy Jackson and the Olympians, #3)",thoughtful
215,Ernest Cline,2011.0,Ready Player One,thoughtful
216,Garth Stein,2006.0,The Art of Racing in the Rain,thoughtful
217,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",magical
218,Sylvia Day,2012.0,"Bared to You (Crossfire, #1)",thoughtful
219,"C.S. Lewis, Pauline Baynes",1956.0,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",thoughtful
220,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,thoughtful
222,Robert Ludlum,1980.0,"The Bourne Identity (Jason Bourne, #1)",thoughtful
223,Eoin Colfer,2001.0,"Artemis Fowl (Artemis Fowl, #1)",thoughtful
224,Lauren Kate,2009.0,"Fallen (Fallen, #1)",thoughtful
225,John Steinbeck,1952.0,East of Eden,thoughtful
226,Gillian Flynn,2009.0,Dark Places,thoughtful
227,John Grisham,1993.0,The Client,thoughtful
228,"Emma McLaughlin, Nicola Kraus",2002.0,"The Nanny Diaries (Nanny, #1)",thoughtful
229,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland & Through the Looking-Glass,adventurous
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,thoughtful
231,Tatiana de Rosnay,2007.0,Sarah's Key,thoughtful
232,Stephen King,1982.0,"The Gunslinger (The Dark Tower, #1)",dark
233,"Gabriel GarcÃ­a MÃ¡rquez, Edith Grossman",1985.0,Love in the Time of Cholera,romantic
234,Laurie Halse Anderson,1999.0,Speak,thoughtful
235,Liane Moriarty,2013.0,The Husband's Secret,mysterious
236,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mount Everest Disaster,thoughtful
237,Stephen King,1974.0,Carrie,dark
238,Augusten Burroughs,2002.0,Running with Scissors,thoughtful
239,Max Brooks,2006.0,World War Z: An Oral History of the Zombie War,tense
240,Dan Brown,2013.0,"Inferno (Robert Langdon, #4)",thoughtful
241,Lois Lowry,1989.0,Number the Stars,thoughtful
242,James Patterson,1993.0,"Along Came a Spider (Alex Cross, #1)",thoughtful
243,Stephen King,1987.0,Misery,dark
244,Gillian Flynn,2006.0,Sharp Objects,thoughtful
245,Katherine Paterson,1977.0,Bridge to Terabithia,thoughtful
246,"P.C. Cast, Kristin Cast",2007.0,"Marked (House of Night, #1)",dark
247,Stephen R. Covey,1989.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,thoughtful
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,dark
249,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,thoughtful
250,R.J. Palacio,2012.0,Wonder,thoughtful
251,Dr. Seuss,1957.0,The Cat in the Hat,thoughtful
252,Marissa Meyer,2012.0,"Cinder (The Lunar Chronicles, #1)",thoughtful
253,"Robert Galbraith, J.K. Rowling",2013.0,"The Cuckoo's Calling (Cormoran Strike, #1)",magical
254,Maggie Stiefvater,2009.0,"Shiver (The Wolves of Mercy Falls, #1)",thoughtful
255,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,thoughtful
256,"Greg Mortenson, David Oliver Relin",2006.0,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,thoughtful
257,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,Alice in Wonderland,thoughtful
258,"Carlos Ruiz ZafÃ³n, Lucia Graves",2001.0,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",dark
259,James Dashner,2010.0,"The Scorch Trials (Maze Runner, #2)",thoughtful
260,Dale Carnegie,1936.0,How to Win Friends and Influence People,thoughtful
261,Frances Mayes,1996.0,Under the Tuscan Sun,thoughtful
262,Liane Moriarty,2014.0,Big Little Lies,thoughtful
263,Gail Carson Levine,1997.0,Ella Enchanted,thoughtful
264,Ernest Hemingway,1926.0,The Sun Also Rises,thoughtful
265,Betty  Smith,1943.0,A Tree Grows in Brooklyn,thoughtful
266,James Patterson,1995.0,"Kiss the Girls (Alex Cross, #2)",romantic
267,Kristin Hannah,2015.0,The Nightingale,dark
268,Kazuo Ishiguro,2005.0,Never Let Me Go,thoughtful
269,Cecelia Ahern,2003.0,P.S. I Love You,romantic
270,"Daphne du Maurier, Sally Beauman",1938.0,Rebecca,thoughtful
271,Daniel Keyes,1966.0,Flowers for Algernon,thoughtful
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989.0,Like Water for Chocolate,thoughtful
273,Lisa See,2005.0,Snow Flower and the Secret Fan,mysterious
274,"Mario Puzo, Robert Thompson, Peter Bart",1969.0,The Godfather,poignant
275,John Green,2006.0,An Abundance of Katherines,thoughtful
276,Isaac Asimov,1951.0,Foundation (Foundation #1),thoughtful
277,Neil Gaiman,2013.0,The Ocean at the End of the Lane,thoughtful
278,Shel Silverstein,1981.0,A Light in the Attic,thoughtful
279,"John Tiffany, Jack Thorne, J.K. Rowling",2016.0,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",magical
280,Lauren Oliver,2011.0,"Delirium (Delirium, #1)",thoughtful
281,John Grisham,1992.0,The Pelican Brief,thoughtful
282,Neil Gaiman,2002.0,Coraline,thoughtful
283,"Terry Pratchett, Neil Gaiman",1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",magical
284,Jack Kerouac,1955.0,On the Road,thoughtful
285,Graeme Simsion,2013.0,"The Rosie Project (Don Tillman, #1)",thoughtful
286,Nicholas Sparks,2008.0,The Lucky One,romantic
287,"Ayn Rand, Leonard Peikoff",1943.0,The Fountainhead,thoughtful
288,Tom Clancy,1984.0,"The Hunt for Red October (Jack Ryan Universe, #4)",thoughtful
289,Richard Adams,1972.0,"Watership Down (Watership Down, #1)",thoughtful
290,Mindy Kaling,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),thoughtful
291,Abraham Verghese,2009.0,Cutting for Stone,thoughtful
292,"C.S. Lewis, Pauline Baynes",1951.0,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",thoughtful
293,Robert Louis Stevenson,1882.0,Treasure Island,adventurous
294,Rick Riordan,2011.0,"The Son of Neptune (The Heroes of Olympus, #2)",thoughtful
295,Stephen King,2011.0,11/22/63,dark
296,Eric Carle,1969.0,The Very Hungry Caterpillar Board Book,thoughtful
297,Kurt Vonnegut Jr.,1963.0,Cat's Cradle,thoughtful
298,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,The Time Machine,thoughtful
299,"Todd Burpo, Lynn Vincent",2010.0,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,thoughtful
300,John Boyne,2006.0,The Boy in the Striped Pajamas,thoughtful
301,Joseph Conrad,1899.0,Heart of Darkness,romantic
302,Nicholas Sparks,2010.0,Safe Haven,romantic
303,Rhonda Byrne,2006.0,"The Secret (The Secret, #1)",mysterious
304,Wally Lamb,1998.0,I Know This Much Is True,thoughtful
305,Stephen King,1983.0,Pet Sematary,dark
306,Wally Lamb,1992.0,She's Come Undone,thoughtful
307,Patrick Rothfuss,2011.0,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",dark
308,Sophie Kinsella,2003.0,Can You Keep a Secret?,mysterious
309,Cassandra Clare,2011.0,"City of Fallen Angels (The Mortal Instruments, #4)",thoughtful
310,Jennifer Weiner,2001.0,"Good in Bed (Cannie Shapiro, #1)",thoughtful
311,Colleen McCullough,1977.0,The Thorn Birds,thoughtful
312,"Neil Gaiman, Dave McKean",2008.0,The Graveyard Book,dark
313,M.L. Stedman,2012.0,The Light Between Oceans,thoughtful
314,"Cornelia Funke, Anthea Bell",2003.0,"Inkheart (Inkworld, #1)",romantic
315,"Spencer Johnson, Kenneth H. Blanchard",1998.0,Who Moved My Cheese?,thoughtful
316,Bill Bryson,1997.0,A Walk in the Woods,thoughtful
317,Maya Angelou,1969.0,I Know Why the Caged Bird Sings,thoughtful
318,Christina Baker Kline,2013.0,Orphan Train,thoughtful
319,Cassandra Clare,2012.0,"City of Lost Souls (The Mortal Instruments, #5)",adventurous
320,Maria Semple,2012.0,"Where'd You Go, Bernadette",thoughtful
321,Wilson Rawls,1961.0,Where the Red Fern Grows,thoughtful
322,Neil Gaiman,1996.0,Neverwhere,thoughtful
323,"Milan Kundera, Michael Henry Heim",1984.0,The Unbearable Lightness of Being,thoughtful
324,Rainbow Rowell,2013.0,Fangirl,thoughtful
325,John Irving,1989.0,A Prayer for Owen Meany,thoughtful
326,Janet Fitch,1999.0,White Oleander,thoughtful
327,Marie Lu,2011.0,"Legend (Legend, #1)",thoughtful
328,Jodi Picoult,2007.0,Nineteen Minutes,thoughtful
329,"Randy Pausch, Jeffrey Zaslow",2008.0,The Last Lecture,thoughtful
330,Robert Jordan,1990.0,"The Eye of the World (Wheel of Time, #1)",thoughtful
331,Jodi Picoult,1998.0,The Pact,thoughtful
332,C.S. Lewis,1953.0,"The Magician's Nephew (Chronicles of Narnia, #6)",magical
333,Lisa Genova,2007.0,Still Alice,thoughtful
334,Sylvia Day,2012.0,"Reflected in You (Crossfire, #2)",thoughtful
335,"Roald Dahl, Quentin Blake",1961.0,James and the Giant Peach,thoughtful
336,James Patterson,2001.0,"1st to Die (Women's Murder Club, #1)",thoughtful
337,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide to the Galaxy,thoughtful
338,David Nicholls,2009.0,One Day,thoughtful
339,"Margaret Wise Brown, Clement Hurd",1947.0,Goodnight Moon,dark
340,Pittacus Lore,2010.0,"I Am Number Four (Lorien Legacies, #1)",thoughtful
341,"Homer, Robert Fagles, FrÃ©dÃ©ric Mugler, Bernard Knox",-750.0,The Iliad,thoughtful
342,J.K. Rowling,2012.0,The Casual Vacancy,magical
343,John Grisham,1996.0,The Runaway Jury,thoughtful
344,David Sedaris,1997.0,Naked,thoughtful
345,Christopher Paolini,2005.0,"Eldest (The Inheritance Cycle, #2)",thoughtful
346,"L. Frank Baum, W.W. Denslow",1900.0,"The Wonderful Wizard of Oz (Oz, #1)",magical
347,C.S. Lewis,1951.0,"Prince Caspian (Chronicles of Narnia, #2)",thoughtful
348,E. Lockhart,2014.0,We Were Liars,thoughtful
349,Stephen King,1975.0,'Salem's Lot,dark
350,"Hunter S. Thompson, Ralph Steadman",1971.0,Fear and Loathing in Las Vegas,dark
351,Cassandra Clare,2011.0,"Clockwork Prince (The Infernal Devices, #2)",thoughtful
352,Amy Poehler,2014.0,Yes Please,thoughtful
353,William Shakespeare,1603.0,Othello,thoughtful
354,Toni Morrison,1987.0,Beloved,romantic
